"","id","tipo","periodo","monto","mandatarios06","recibos"
"446",287,"Reg-Cov","A Vencer",5542,NA,24330
"447",288,"Detectar","2022",20161,NA,NA
"448",288,"Reg-Cov","2021",9163,NA,NA
"449",288,"Turismo","2021",7500,NA,NA
"450",289,"Reg-Cov","",79652,NA,NA
"451",289,"Reg-Cov","2022",1906,NA,NA
"452",289,"Reg-Cov","A Vencer",167167,NA,NA
"453",290,"Detectar","2021",69045,NA,NA
"454",290,"Detectar","2022",140671,NA,NA
"455",290,"Detectar","A Vencer",306385,NA,NA
"456",290,"Reg-Cov","",911021.52,NA,NA
"457",290,"Reg-Cov","2022",76181,NA,NA
"458",290,"Reg-Cov","A Vencer",975643.32,NA,NA
"459",292,"Detectar","2021",80688,143695.27,NA
"460",292,"Detectar","2022",163421,NA,NA
"461",292,"Detectar","A Vencer",423401,NA,NA
"462",292,"Reg-Cov","",1538881.22,NA,NA
"463",292,"Reg-Cov","2017",1913.32,NA,NA
"464",292,"Reg-Cov","2018",11563.22,NA,NA
"465",292,"Reg-Cov","2021",243178.1,419736.37,NA
"466",292,"Reg-Cov","2022",2761023,NA,NA
"467",292,"Reg-Cov","A Vencer",328641,NA,NA
"468",292,"Turismo","2021",76160,177100.92,NA
"469",293,"Detectar","2022",1505011.82,NA,NA
"470",293,"Detectar","A Vencer",526209,NA,NA
"471",293,"Reg-Cov","",872711.86,NA,NA
"472",293,"Reg-Cov","2018",2629,NA,NA
"473",293,"Reg-Cov","2020",9900,NA,NA
"474",293,"Reg-Cov","2021",136251,NA,NA
"475",293,"Reg-Cov","2022",5899066.05,NA,3549871.56
"476",293,"Reg-Cov","A Vencer",477552.35,NA,NA
"477",293,"Turismo","2022",1196514.82,NA,NA
"478",298,"Reg-Cov","A Vencer",13910,NA,13910
"479",299,"Detectar","2022",48190,NA,NA
"480",299,"Detectar","A Vencer",85103,NA,NA
"481",299,"Reg-Cov","A Vencer",3485,NA,NA
"482",301,"Reg-Cov","",756672,NA,NA
"483",301,"Reg-Cov","A Vencer",1173991.14,NA,NA
"484",303,"Detectar","2021",522640,NA,NA
"485",303,"Detectar","2022",667814,NA,45961
"486",303,"Detectar","A Vencer",950472,NA,NA
"487",303,"Reg-Cov","",8859443.77,NA,NA
"488",303,"Reg-Cov","2021",12560444.07,NA,NA
"489",303,"Reg-Cov","2022",15961353.45,NA,45961
"490",303,"Reg-Cov","A Vencer",2897043.47,NA,NA
"491",304,"Detectar","2022",97044,NA,NA
"492",304,"Detectar","A Vencer",183625,NA,NA
"493",304,"Reg-Cov","",194016,NA,NA
"494",304,"Reg-Cov","2022",540693.56,NA,92302.56
"495",304,"Reg-Cov","A Vencer",455302.17,NA,NA
"496",307,"Detectar","A Vencer",128940,NA,NA
"497",307,"Reg-Cov","",222587,NA,NA
"498",307,"Reg-Cov","2022",7760.96,NA,7760.96
"499",307,"Reg-Cov","A Vencer",78173,NA,NA
"500",309,"Detectar","",65050,NA,NA
"501",309,"Detectar","2022",10440,NA,10440
"502",309,"Detectar","A Vencer",52273,NA,NA
"503",309,"Reg-Cov","A Vencer",1441700.02,NA,626516.14
"504",312,"Detectar","2022",128484,NA,479893
"505",312,"Detectar","A Vencer",596798,NA,NA
"506",312,"Reg-Cov","",418356,NA,NA
"507",312,"Reg-Cov","2022",351409,NA,479893
"508",312,"Reg-Cov","A Vencer",814790.33,NA,NA
"509",313,"Detectar","",1944668,NA,NA
"510",313,"Detectar","2021",195835,NA,NA
"511",313,"Detectar","2022",3183175.74,1361871.74,NA
"512",313,"Detectar","A Vencer",659944,NA,NA
"513",313,"Reg-Cov","",2103255.56,NA,NA
"514",313,"Reg-Cov","2019",18045,18045,NA
