"","Nro Intimacion","Factura","Cliente","Emision","Importe","Vencimiento","Fecha Intimacion","Recepcion Intimacion","Imputacion","Fecha Imputacion","Importe Imputacion","Saldo"
"127",1988,"FACB2 - 12639","150 - OSBA",2020-12-10,78224,2021-01-20,2021-03-11 00:00:00,2021-03-16,"NCB - 4672",2021-03-25,2800,0
"128",1988,"FACB2 - 11257","150 - OSBA",2020-10-26,44989,2020-12-06,2021-03-11 00:00:00,2021-03-16,"NCB - 4673",2021-03-25,28924,0
"129",1955,"FACB2 - 11825","303 - OSPETAX",2020-11-16,236246.89,2020-12-17,2021-03-04 00:00:00,2021-03-10,"NCB - 4686",2021-03-25,203804.93,32441.96
"130",1786,"FACB2 - 10825","150 - OSBA",2020-10-07,130290,2020-11-18,2021-01-07 00:00:00,2021-01-19,"NCB - 4687",2021-03-25,47298,0
"131",1988,"FACB2 - 12412","150 - OSBA",2020-12-03,36317.4,2021-01-10,2021-03-11 00:00:00,2021-03-16,"NCB - 4690",2021-03-25,19042,0
"132",1988,"FACB2 - 11010","150 - OSBA",2020-10-19,100834,2020-11-28,2021-03-11 00:00:00,2021-03-16,"NCB - 4691",2021-03-25,67176,0
"133",1799,"FACB2 - 7967","391 - OSPM",2020-04-27,345222.03,2021-02-24,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9159",2021-03-25,343482.03,1740
"134",1799,"FACB2 - 8257","391 - OSPM",2020-05-26,56227,2020-07-19,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9159",2021-03-25,17683.02,0
"135",1799,"FACB2 - 8406","391 - OSPM",2020-06-01,5162,2020-07-19,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9159",2021-03-25,5162,0
"136",1799,"FACB2 - 8594","391 - OSPM",2020-06-17,52413,2020-08-23,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9159",2021-03-25,52220,193
"137",1799,"FACB2 - 9436","391 - OSPM",2020-07-29,1001172.33,2020-09-04,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9159",2021-03-25,675027.33,326145
"138",1799,"FACB2 - 9606","391 - OSPM",2020-08-11,51792,2020-10-11,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9159",2021-03-25,45730,6062
"139",1799,"FACB2 - 10011","391 - OSPM",2020-08-24,38775,2020-10-11,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9159",2021-03-25,38582,193
"140",1799,"FACB2 - 10201","391 - OSPM",2020-09-08,52540,2020-11-01,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9159",2021-03-25,39216,13324
